County,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Elgin,113200,108600,174.25414364640883,18924,480.69498069498064
Essex,61900,59400,167.03703703703704,9922,252.03210729526518
Haldimand-Norfolk,71100,68200,160.08797653958945,10918,277.3318431213168
Hamilton,29400,28200,120.46099290780143,3397,86.28835602519813
Lambton,125800,120700,178.92294946147473,21596,548.567364356838
Middlesex,173100,166100,178.25406381697772,29608,752.0829099776468
Niagara,21000,20200,166.980198019802,3373,85.67872383661857
Oxford,137500,132000,182.18939393939394,24049,610.8768542979069
Southern Ontario,952000,913600,173.73467600700525,158724,4031.8024791709
Bruce,76300,73300,168.25375170532058,12333,313.27474090631983
Dufferin,11800,11300,155.30973451327435,1755,44.5793537898801
Grey,41800,40100,157.98004987531172,6335,160.9174964438122
Halton,10500,10100,172.87128712871285,1746,44.35074171916277
Huron,219900,211200,164.7774621212121,34801,883.9920747815485
Peel,10300,9900,165.65656565656568,1640,41.658199552936395
Perth,112900,108400,171.71586715867159,18614,472.8205649258281
Simcoe,63700,61200,166.22549019607843,10173,258.4078439341597
Waterloo,37800,36300,171.84573002754823,6238,158.45356634830318
Wellington,80800,77600,167.96391752577318,13034,331.08108108108104
Western Ontario,665800,639400,166.82671254300908,106669,2709.535663483032
Durham,72700,71100,153.30520393811534,10900,276.87461897988214
Haliburton,N/A,N/A,N/A,N/A,0
Hastings,19800,19400,134.02061855670104,2600,66.04348709611867
Kawartha Lakes,24700,24100,145.22821576763488,3500,88.90469416785206
Muskoka,N/A,N/A,N/A,N/A,0
Northumberland,38600,37700,145.88859416445624,5500,139.7073765494818
Parry Sound,N/A,N/A,N/A,N/A,0
Peterborough,12300,12000,133.33333333333334,1600,40.6421459053038
Prince Edward,14100,13800,144.92753623188406,2000,50.80268238162975
York,17900,17500,148.57142857142858,2600,66.04348709611867
Central Ontario,203800,199200,147.85140562248998,29452,748.1203007518797
Frontenac,7700,7600,139.60526315789474,1061,26.95082300345458
Lanark,14400,14200,161.9718309859155,2300,58.42308473887421
Leeds and Grenville,23100,22700,131.67400881057267,2989,75.92460881934566
Lennox and Addington,5900,5800,143.2758620689655,831,21.10851452956716
Ottawa,63400,62300,164.33386837881218,10238,260.0589311115627
Prescott and Russell,68400,67300,150.50520059435362,10129,257.29018492176385
Renfrew,17800,17500,125.71428571428572,2200,55.88295061979272
"Stormont, Dundas and Glengarry",129300,127100,158.78048780487805,20181,512.624466571835
Eastern Ontario,330000,324500,153.864406779661,49929,1268.263564316196
Algoma,N/A,N/A,N/A,N/A,0
Cochrane,N/A,N/A,N/A,N/A,0
Greater Sudbury,N/A,N/A,N/A,N/A,0
Kenora,N/A,N/A,N/A,N/A,0
Manitoulin,300,300,73.33333333333333,22,0.5588295061979273
Nipissing,300,300,120,36,0.9144482828693354
Rainy River,1200,1200,166.66666666666666,200,5.080268238162975
Sudbury,N/A,N/A,N/A,N/A,0
Thunder Bay,300,300,143.3,43,1.0922576712050396
Timiskaming,900,900,111.1111111111111,100,2.5401341190814875
Northern Ontario,3200,3200,125,400,10.16053647632595
Ontario,2155000,2080000,165.95,345176,8767.933346880714
,,,,,
2017,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,55700,54500,172.102752293578,9379.6,238.2544198333672
Chatham-Kent,141200,138100,182.4076755973932,25190.5,639.872485267222
Elgin,107500,105100,180.0637488106565,18924.7,480.71276163381424
Essex,59200,57900,185.52849740932643,10742.1,272.86374720585246
Haldimand-Norfolk,83000,81200,157.82142857142858,12815.1,325.5207274944117
Hamilton,28400,27800,168.78776978417267,4692.3,119.19071326966063
Lambton,139100,136000,184.48529411764707,25090,637.3196504775452
Middlesex,177300,173400,179.23356401384083,31079.1,789.4508230034545
Niagara,19700,19300,173.68911917098447,3352.2,85.15037593984961
Oxford,136200,133300,184.9842460615154,24658.4,626.3564316195896
Southern Ontario,947300,926600,179.0675588171811,165924,4214.692135744767
Bruce,51200,49500,170.7919191919192,8454.2,214.74801869538712
Dufferin,21700,21000,134.34761904761905,2821.3,71.66480390164601
Grey,31700,30600,157.86601307189542,4830.7,122.7062588904694
Halton,7800,7500,142.34666666666666,1067.6,27.118471855313956
Huron,147500,142500,173.5038596491228,24724.3,628.0303800040641
Peel,12900,12500,164.472,2055.9,52.2226173541963
Perth,125500,121300,168.92910140148393,20491.1,520.5014224751067
Simcoe,80900,78200,157.5613810741688,12321.3,312.9775452143873
Waterloo,38900,37600,173.16489361702128,6511,165.38813249339563
Wellington,86900,84000,170.35238095238094,14309.6,363.4830319040845
Western Ontario,605000,584700,166.900974858902,97587,2478.8406827880513
Durham,70200,66500,118.8781954887218,7905.4,200.8077626498679
Haliburton,0,,N/A,0,0
Hastings,15000,14200,126.06338028169014,1790.1,45.470940865677704
Kawartha Lakes,16700,15800,159.22784810126583,2515.8,63.904694167852064
Muskoka,0,,N/A,0,0
Northumberland,43500,41200,154.39320388349515,6361,161.57793131477342
Parry Sound,300,,N/A,46,1.1684616947774842
Peterborough,16300,15400,152.24025974025975,2344.5,59.55344442186547
Prince Edward,9700,9200,131.58695652173913,1210.6,30.750863645600482
York,16500,15600,158.69230769230768,2475.6,62.8835602519813
Central Ontario,188200,177900,138.55536818437324,24649,626.1176590123958
Frontenac,2000,2000,136.65,273.3,6.9421865474497055
Lanark,14300,14000,152.0142857142857,2128.2,54.05913432229221
Leeds and Grenville,28200,27500,131.44727272727272,3614.8,91.8207681365576
Lennox and Addington,9600,9400,123.2127659574468,1158.2,29.41983336720179
Ottawa,55800,54500,143.3834862385321,7814.4,198.49624060150373
Prescott and Russell,68000,66400,146.4593373493976,9724.9,247.02550294655555
Renfrew,18400,18000,147.3388888888889,2652.1,67.36689697216012
"Stormont, Dundas and Glengarry",179900,175700,160.4268639726807,28187,715.9876041454988
Eastern Ontario,376200,367500,151.1643537414966,55552.9,1411.1181670392195
Algoma,0,0,N/A,4,0.1016053647632595
Cochrane,200,188,69.68085106382979,13.1,0.33275756959967484
Greater Sudbury,100,94,97.87234042553192,9.2,0.23369233895549682
Kenora,0,0,N/A,0,0
Manitoulin,200,188,94.14893617021276,17.7,0.44960373907742324
Nipissing,100,94,125.53191489361703,11.8,0.29973582605161553
Rainy River,600,564,89.71631205673759,50.6,1.2853078642552327
Sudbury,0,0,N/A,0,0
Thunder Bay,200,188,92.02127659574468,17.3,0.4394432026010973
Timiskaming,1900,1785,90.36414565826331,161.3,4.097236334078439
Northern Ontario,3300,3100,91.93548387096774,285,7.239382239382239
Ontario,2120000,2060100,166.98116596281733,344000,8738.061369640316
,,,,,
2016,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,57050.14761313795,56953.41011514674,136.31861601728812,7763.810044361822,197.2111878775102
Chatham-Kent,145112.51165874003,142561.90546693784,186.26610677684954,26554.451106015775,674.5186726787181
Elgin,116515.04215132339,115885.32456940104,180.0145640115146,20861.04617769359,529.8985515569394
Essex,60756.34042749998,60663.25148641382,167.0239709635199,10132.217154819487,257.37190496899734
Haldimand-Norfolk,65335.95234241109,65235.846664952325,127.97352891690367,8348.46150959597,212.06211922363266
Hamilton,21272.65932326635,20808.68912456784,148.94369035497493,3099.322949662567,78.72695970490162
Lambton,123259.51905609811,119971.74631870686,179.07996869176407,21484.536574650287,545.7360438592331
Middlesex,165294.56477891433,162841.28347190944,179.38966349632497,29212.043045335497,742.0250722753377
Niagara,20029.08801031879,19998.400075846715,126.8876110943611,2537.54921133348,64.45715330556492
Oxford,134274.17463829,132780.14270611736,176.45381115750294,23429.562226531525,595.1423040675555
Southern Ontario,908900,897700,170.90676172440686,153423.00000000003,3897.149969518391
Bruce,51275.44880335457,51242.53296280967,146.96831518665917,7531.028735440984,191.2982304267675
Dufferin,18107.110018385778,18095.486312304143,152.1948663019039,2754.040119969061,69.95631274052684
Grey,23700.179540963793,23570.584757287295,147.33886259219423,3472.8631487716207,88.21538175095561
Halton,11315.77586223812,11308.511795660143,138.07511898886568,1561.4241117727652,39.66226660670507
Huron,179322.75500212898,177854.9139715012,171.93398958523284,30579.304926458568,776.7553578149402
Peel,9936.486844454736,9791.21740672855,115.01476519223765,1126.1345709810344,28.605328464261184
Perth,114259.08761795252,114185.73996334181,176.954377149389,20205.666494555247,513.2510286160142
Simcoe,77818.29512610055,77213.94430319873,133.59129577919023,10315.110871686542,262.01765067279365
Waterloo,32996.65759477899,32556.468988352157,147.55564717613458,4803.890851346057,122.02527055847534
Wellington,76468.20358964195,76380.5995388163,156.08068332796532,11921.53616901812,302.8230077478693
Western Ontario,595200,592200,159.18777440054035,94271,2394.609835399309
Durham,69300.3260225252,66702.98687834713,137.837985139864,9194.205314122155,233.5451461624201
Haliburton,0,0,N/A,0,0
Hastings,11241.962062833432,9964.201628091012,89.45400413662387,891.3377336574076,22.641173888879486
Kawartha Lakes,20870.088915234144,20268.831320201458,108.26829061783735,2194.4717198594954,55.742524889745354
Muskoka,0,0,N/A,0,0
Northumberland,46566.502667457025,45426.813812395325,114.5970129907166,5205.777172585932,132.23372212421083
Parry Sound,0,0,N/A,0,0
Peterborough,15457.551867219918,15379.680148209038,93.26628336395399,1434.405606749842,36.43582622307056
Prince Edward,14338.844101956134,12646.96067184826,64.55977105239093,816.4848854831158,20.739811153300035
York,19224.724362774155,19010.52554090778,131.99622294198974,2509.3175675420534,63.74003168924135
Central Ontario,197000,189400.00000000003,117.45512143611403,22246,565.0782361308677
Frontenac,4134.57683256341,4129.01690073792,101.77218151018036,420.21905748050193,10.674127653944877
Lanark,6546.413318225399,6529.445370149964,145.6854668521535,951.2452970359298,24.16290634616769
Leeds and Grenville,27929.416891833,27891.85908117115,133.87260557756358,3733.9558495986103,94.84748652709332
Lennox and Addington,12421.24989104855,12404.54653653892,80.0464133872131,992.9394599447166,25.221994003879207
Ottawa,42239.25738690839,42182.45655796239,152.29525197512208,6424.187850424523,163.1829874625209
Prescott and Russell,70940.69554606467,70367.07926684122,153.69885976741054,10815.33984847649,274.7241375857673
Renfrew,20112.263575350822,20085.217805284454,138.61694346343992,2784.151500965992,70.72118220295651
"Stormont, Dundas and Glengarry",137276.12655800575,134910.37848131396,153.93894354057974,20767.961136073234,527.5340666549795
Eastern Ontario,321600,318500,147.22135007849295,46890,1191.0688884373094
Algoma,0,0,N/A,0,0
Cochrane,0,0,N/A,0,0
Greater Sudbury,0,0,N/A,0,0
Kenora,0,0,N/A,0,0
Manitoulin,0,0,N/A,0,0
Nipissing,0,0,N/A,0,0
Rainy River,0,0,N/A,0,0
Sudbury,0,0,N/A,0,0
Thunder Bay,0,0,N/A,0,0
Timiskaming,2300,2300,74.34782608695652,171,4.343629343629344
Northern Ontario,2300,2300,74.34782608695652,171,4.343629343629344
Ontario,2025000,2000000,158.5,317000,8052.225157488315
,,,,,
2015,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,42143.5546875,42000,159.86809768237674,6714,170.54460475513108
Chatham-Kent,132451.171875,131900,192.9129486566513,25445,646.3371266002845
Elgin,122416.9921875,121900,172.3009202893361,21003,533.5043690306848
Essex,56191.40625,56000,188,10528,267.425320056899
Haldimand-Norfolk,84287.109375,83900,160.97340573471956,13506,343.0705141231457
Hamilton,29099.12109375,29000,168.36,4882,124.00934769355821
Lambton,141481.93359375,140900,175,24658,626.3462710831132
Middlesex,135461.42578125,134900,175,23608,599.6748628327575
Niagara,21071.77734375,21000,151,3171,80.54765291607396
Oxford,143488.76953125,143000,178,25454,646.5657386710018
Southern Ontario,908093.26171875,904500,175.7534549474848,158969,4038.0258077626495
Bruce,58198.2421875,57600,162,9331,237.0199146514936
Dufferin,16054.6875,15900,141.1,2243,56.97520829099776
Grey,27092.28515625,26800,151.7,4066,103.28185328185327
Halton,14047.8515625,13900,123.3,1714,43.53789880105669
Huron,193659.66796875,191900,169.4,32508,825.7467994310099
Peel,12041.015625,11900,153,1821,46.25584230847389
Perth,117399.90234375,116300,171.7,19969,507.2393822393822
Simcoe,62211.9140625,61600,164.5,10133,257.3917902865271
Waterloo,43146.97265625,42700,155.2,6627,168.33468807153017
Wellington,85290.52734375,84500,159.5,13478,342.3592765698029
Western Ontario,629143.06640625,623100,163.52110415663617,101890,2588.1426539321274
Durham,48164.0625,47800,157.2105180317548,7515,190.89107904897378
Haliburton,,,,0,0
Hastings,14047.8515625,13900,153.35331624268719,2132,54.15565941881731
Kawartha Lakes,13044.43359375,12900,151.67740898497146,1957,49.71042471042471
Muskoka,,,,0,0
Northumberland,37126.46484375,36900,159.4,5882,149.4106888843731
Parry Sound,,,,0,0
Peterborough,17058.10546875,16900,141.1,2385,60.582198740093474
Prince Edward,18061.5234375,17900,148.11652290687465,2651,67.33895549685023
York,18061.5234375,17900,152,2721,69.11704938020728
Central Ontario,165563.96484375,164200,153.7332521315469,25243,641.2060556797398
Frontenac,5017.08984375,5000,142.2,711,18.060353586669375
Lanark,12041.015625,11900,183.78516953046037,2187,55.55273318431213
Leeds and Grenville,27092.28515625,26800,155,4154,105.51717130664498
Lennox and Addington,7023.92578125,6900,149.65228900654003,1033,26.239585450111765
Ottawa,48164.0625,47600,184.7,8792,223.32859174964437
Prescott and Russell,85290.52734375,84300,187.49996773319222,15806,401.4935988620199
Renfrew,17058.10546875,16900,152.40088465464444,2576,65.43385490753911
"Stormont, Dundas and Glengarry",129440.91796875,128000,180.93170009330353,23159,588.2696606380816
Eastern Ontario,331127.9296875,327400,178.43005497861944,58418,1483.8955496850233
Algoma,0,,,0,0
Cochrane,0,,,0,0
Greater Sudbury,0,,,0,0
Kenora,0,,,0,0
Manitoulin,0,,,0,0
Nipissing,0,,,0,0
Rainy River,0,,,0,0
Sudbury,0,,,0,0
Thunder Bay,0,,,0,0
Timiskaming,,,,0,0
Northern Ontario,21072,20800,167.30769230769232,3480,88.39666734403576
Ontario,2055000.22265625,2040000,170.58823529411765,348000,8839.666734403576
,,,,,
2014,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,46180,45850,157.9,7240,183.90571022149967
Chatham-Kent,132100,131150,176.69,23173,588.6252794147531
Elgin,104190,103440,171,17688,449.2989229831335
Essex,46090,45760,185,8466,215.04775452143872
Haldimand-Norfolk,67460,66970,161,10782,273.87726071936595
Hamilton,24270,24090,151.89,3659,92.94350741719163
Lambton,109090,108300,176.79,19146,486.33407843934157
Middlesex,154360,153240,170.39,26111,663.2544198333671
Niagara,12140,12050,151.8,1829,46.459053038000405
Oxford,147920,146850,167,24524,622.9424913635439
Southern Ontario,843800,837700,170.24949265846962,142618,3622.688477951636
Bruce,46650,46150,142,6553,166.45498882340988
Dufferin,9410,9310,135.8,1264,32.10729526519
Grey,30690,30360,145,4402,111.81670392196708
Halton,4500,4450,155.8228421554602,693,17.603129445234707
Huron,160950,159220,167.1,26606,675.8280837228206
Peel,6730,6660,153,1019,25.883966673440355
Perth,96260,95230,158,15046,382.1885795570006
Simcoe,56300,55690,149,8298,210.78032920138182
Waterloo,45530,45040,154.4,6954,176.64092664092664
Wellington,91970,90980,150.09,13655,346.8553139605771
Western Ontario,549000,543100,155.5727411662892,84490,2146.1593172119487
Durham,55010,54800,152,8330,211.5931721194879
Haliburton,0,0,0,0,0
Hastings,13660,13600,138,1877,47.67831741515952
Kawartha Lakes,20020,19900,157.84253699335193,3141,79.78561268034952
Muskoka,0,0,0,0,0
Northumberland,37050,36900,150.5,5553,141.053647632595
Parry Sound,0,0,0,0,0
Peterborough,7700,7700,141.1,1086,27.585856533224952
Prince Edward,14410,14300,143.8644219308701,2057,52.2505588295062
York,27770,27600,149.4,4123,104.72972972972973
Central Ontario,175600,174800,149.69679633867275,26167,664.6768949400528
Frontenac,5960,5900,138,814,20.676691729323306
Lanark,9170,9100,156.32693208430914,1423,36.146108514529566
Leeds and Grenville,18570,18500,136.81235697940502,2531,64.29079455395245
Lennox and Addington,6310,6300,131.84019741320625,831,21.10851452956716
Ottawa,40510,40300,152.00421738202007,6126,155.6086161349319
Prescott and Russell,71290,71000,158.4476191914463,11250,285.76508839666735
Renfrew,21130,21000,140.44721038854385,2949,74.90855517171306
"Stormont, Dundas and Glengarry",130950,130400,152.39,19872,504.77545214387317
Eastern Ontario,303900,302600,151.39173553719007,45796,1163.279821174558
Algoma,0,0,0,0,0
Cochrane,0,0,0,0,0
Greater Sudbury,0,0,0,0,0
Kenora,0,0,0,0,0
Manitoulin,0,0,0,0,0
Nipissing,0,0,0,0,0
Rainy River,0,0,0,0,0
Sudbury,0,0,0,0,0
Thunder Bay,0,0,0,0,0
Timiskaming,2000,1333.3333333333333,74.7061973986228,100,2.5401341190814875
Northern Ontario,2700,1800,75,135,3.429181060760008
Ontario,1875000,1859890,160.87295485216868,299206,7600.233692338955
,,,,,
2013,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,47437.54715654318,47282.28465178616,155.00440031375572,7328.96217791441,186.1654688557816
Chatham-Kent,122446.05798186541,122045.29354948127,177.60733131890137,21676.138887355297,550.6029995772022
Elgin,142052.79557638534,141587.85853450702,171.20574299075147,24240.654518869687,615.7451361224773
Essex,55940.67541406755,55757.582275758235,162.45241073691625,9057.953657558879,230.08417134624258
Haldimand-Norfolk,77019.53604579976,76767.45205751444,156.69182267947298,12028.831985350997,305.5484653868877
Hamilton,22801.729900557602,22727.100120786934,150.57400472853865,3422.1104810533434,86.92619592189959
Lambton,139138.88170739778,138683.4818695501,173.048214651326,23998.928939155183,609.6049821976017
Middlesex,188223.46761917367,187607.41453910683,172.4625706318283,32355.256981005405,821.8669218910131
Niagara,20350.887701242616,20284.27949765872,133.2199233736632,2702.270160368062,68.64128633326717
Oxford,162288.4208969671,161757.25290385028,176.1769052068911,28497.89221136874,723.8846832800432
Southern Ontario,977700,974499.9999999999,169.6346844535659,165308.99999999997,4199.070310912415
Bruce,68356.41835804896,67567.17796015277,148.24080748973458,10016.213020615643,254.4252443765404
Dufferin,15341.645377511677,15164.51137030394,119.46800939969842,1811.6739869293046,46.018949068515155
Grey,30390.067453139854,30039.184982920666,134.22389415009212,4031.97638550258,102.41760784145956
Halton,3333.6456079652016,3295.1554727405323,156.88834367808246,516.971484280031,13.131769058119055
Huron,237544.24131516187,234801.56526458944,165.2095750666591,38791.46682234925,985.3552840466685
Peel,10722.872815429471,10599.066966458402,130.38995460208258,1382.0118605809441,35.10495480036944
Perth,118356.04690335658,116989.512848542,165.62768439651757,19376.70211178065,492.1942214941234
Simcoe,60655.76778168774,59955.438778960204,156.63707853622498,9391.244772693819,238.55021267765238
Waterloo,42286.84459093742,41798.60242067169,149.71339356300348,6257.810614589531,158.95678252869158
Wellington,79912.44979676121,78989.78393466036,153.06952796173937,12090.928940678245,307.12581133606596
Western Ontario,666900,659200,157.26183252427182,103666.99999999999,2633.280837228205
Durham,64484.33797940028,64204.09313811649,148.38810053034987,9527.123427038776,242.00171273721742
Haliburton,0,0,0,0,0
Hastings,21280.428076774355,21187.94468661019,139.10662394819144,2947.383453755365,74.86749272900235
Kawartha Lakes,26104.342285654024,25990.894470418676,141.63885884539903,3681.3206331612932,93.51048143571666
Muskoka,0,0,0,0,0
Northumberland,48697.16622139417,48485.53142686399,147.74961639380996,7163.718668969172,181.96806210549613
Parry Sound,0,0,0,0,0
Peterborough,13915.64268639927,13855.16618624108,128.6362428388737,1782.276522106259,45.272214034399994
Prince Edward,16802.306921643758,16729.285161879987,142.7422268190623,2387.9754170978467,60.65777832498086
York,38815.775828734135,38647.08492986958,138.2821469606071,5344.201877871289,135.7498952924022
Central Ontario,230100,229100,143.31732867743347,32834.00000000001,834.0276366592158
Frontenac,16194.045532117441,16049.953852583674,145.31437345586005,2332.2889880836638,59.24326834189351
Lanark,13922.935556148925,13799.051801200412,170.37532995112775,2351.018003642224,59.71901045626458
Leeds and Grenville,31600.381949684805,31319.207483427563,138.25334400964442,4329.985166315741,109.98743056075341
Lennox and Addington,6121.682900495722,6067.213276524606,143.05888467078242,867.9687643993735,22.047570727478497
Ottawa,36612.80053867676,36287.026481070854,161.07640855436136,5844.983902687899,148.470430366996
Prescott and Russell,105003.95068321396,104069.64457782371,154.80908848008693,16110.926815539511,409.23914894176767
Renfrew,25697.113899950076,25468.465641942483,135.58225968221,3453.0721223732894,87.71266313689517
"Stormont, Dundas and Glengarry",113247.08893971232,112239.43688542671,153.72276194303097,17253.7562369583,438.26854899812787
Eastern Ontario,348400,345300,152.16912829423688,52544,1334.6880715301768
Algoma,0,0,0,0,0
Cochrane,0,0,0,0,0
Greater Sudbury,0,0,0,0,0
Kenora,0,0,0,0,0
Manitoulin,0,0,0,0,0
Nipissing,0,0,0,0,0
Rainy River,0,0,0,0,0
Sudbury,0,0,0,0,0
Thunder Bay,530.0462249614792,530.0462249614792,127.72446969064798,67.69987299473483,1.7196675725140933
Timiskaming,816.6409861325116,816.6409861325116,120.77488864646446,98.62972416429302,2.5053272750531654
Northern Ontario,1900,1900,129.47368421052633,246,6.248729932940459
Ontario,2225000,2210000,160.45248868778282,354600,9007.315586262954
,,,,,
2012,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,49185.63042768683,49018.868920692934,130.61063494697328,6402.385594114158,162.62918091125172
Chatham-Kent,174039.94148521763,173449.8674602059,181.8237023019809,31537.297065402516,801.089642994374
Elgin,136412.04499157777,135949.54653426187,175.13288789350023,23809.236692357073,604.7865447154306
Essex,66704.75470727122,66478.59545462126,165.08746811381147,10974.783007365759,278.774207665255
Haldimand-Norfolk,70124.85801349938,69887.10306559326,135.357512979126,9459.744460274555,240.29019661335485
Hamilton,35073.089204070304,34954.17558723253,146.25104425103447,5112.084680566773,129.8538071674145
Lambton,127317.59665303068,126885.93248404303,170.95625773674035,21691.9441769087,551.0044751297678
Middlesex,237677.15941227906,236871.3264700767,166.3078795743418,39393.568037200115,1000.6494624364996
Niagara,35788.62244861492,35667.28285083258,131.75188427182877,4699.231722453477,119.36678831674143
Oxford,158976.3026567522,158437.3011724399,159.89558251679944,25333.424563356868,643.5029608655981
Southern Ontario,1091300,1087600,164.04349025376976,178413.7,4531.947266815688
Bruce,78285.40322509508,71646.06939416661,139.843592905862,10019.243761662974,254.50222926394466
Dufferin,19102.007070374657,17481.978347825796,130.4591361888814,2280.6837941300814,57.932427203060385
Grey,26627.67717157872,24369.4012912594,134.3281121412179,3273.4956694666334,83.1511803867769
Halton,14027.21950392026,12837.5801948085,99.04759964491726,1271.5315035449112,32.298605556414124
Huron,165550.727943247,151510.4790144902,162.34586944929012,24597.100446285836,624.7993407408513
Peel,11185.554071063372,10236.91454821188,119.53433934117241,1223.6628174125435,31.082676727609822
Perth,114567.30451805082,104850.92637514375,166.3876273683611,17445.896866934883,443.1491786967812
Simcoe,67211.96341997143,61511.76077434852,153.74768757381364,9457.290977649702,240.22787486409524
Waterloo,43890.040060932784,40167.75447750813,142.13086883498548,5709.077843038609,145.01823417594514
Wellington,95048.10301576584,86987.1355822372,143.3501199506117,12469.616319873827,316.7449786596684
Western Ontario,635496,581600,150.87276478679502,87747.59999999999,2228.906726275147
Durham,46454.80707295281,46024.07172688927,155.15990492780656,7141.090593534689,181.39327864089333
Haliburton,0,0,0,0,0
Hastings,19997.70260629861,19812.281163495656,116.79386196676147,2313.95283145598,58.777505371265484
Kawartha Lakes,20601.264016733505,20410.246269707695,137.67339968841057,2809.9479924283587,71.37644768411803
Muskoka,0,0,0,0,0
Northumberland,34195.8374024283,33878.76890541922,133.0536078285926,4507.692431657166,114.50143343977763
